teks_bersih,target_banjir,target_kpr,target_shm
"Project: Parkland Podomoro Rumah baru 2 lantai 2 kamar tidur, 2 kamar mandi Luas Tanah 78 m2, Luas Bangunan 82 m2 By developer ternama Agung Podomoro Land Keunggulan Parkland Podomoro - ukuran unitnya luas - dekat Stasiun Kereta Cepat (KCIC) - dekat Stasiun Karawang - lokasi strategis di pusat Kota Karawang Lokasi strategis di Karawang - 2 menit ke Stasiun Karawang - 5 menit ke Tol Karawang Barat - 5 menit ke Ciplaz Karawang - 10 menit ke RSUD Karawang 10 Rumah Premier Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Fasilitas Kesehatan Rp 1,49 Miliar Rp 7 Jutaan (Tenor 20 Tahun) Rp 9 Jutaan (Tenor 15 Tahun) Rumah 2 Lantai Kondisi Baru Fasilitas Lengkap Ada Clubhouse Mewah Cikarang, Bekasi Project: Parkland Podomoro Rumah baru 2 lantai 2 kamar tidur, 2 kamar mandi Luas Tanah 78 m2, Luas Bangunan 82 m2 By developer ternama Agung Podom... 2 2 1 + 1 LT: 78 m² LB: 82 m² oleh Wenny",0,1,0
"Perumahan Zamrud Residence Cibubur Jatisampurna - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 91 LT 110 2 Lantai 3 Kamar Tidur 3 Kamar Mandi Listrik 2200 VA Sumber Air Tanah Hadap Utara Fasilitas Sekitar Hunian: 7 Menit ke SDN Jatiranggon III 4 Menit ke Madrasah Ibtidaiyah Al-Ishlah 4 Menit ke SDN Jatiranggon II 5 Menit ke SDN Jatiranggon I 9 Menit ke SMP - SMA LABSCHOOL CIBUBUR 5 Menit ke Sekolah Menengah Pertama Yamad 7 Menit ke SMP Negeri 60 Bekasi 7 Menit ke MI / SMP As-Syafi'iyah 08 5 Menit ke SMP STRADA NAWAR 11 Menit ke SMA Negeri 11 Bekasi 7 Menit ke SMA Pangudi Luhur II Servatius 9 Menit ke SMA -SMP HANDAYANI 8 Menit ke Sekolah Menengah Atas Islam Darul Abror 24 Menit ke Living World Kota Wisata Cibubur 19 Menit ke Plaza Cibubur Lotus 20 Menit ke Mall Cibubur 12 Menit ke Pasar Kaget AURI 13 Menit ke Pasar Rumdis TNI AL 13 Menit ke Pasar Kranggan 5 Menit ke Rumah Sakit Jatisampurna 12 Menit ke RSUD Jatisampurna Kota Bekasi 5 Menit ke UPTD Puskesmas Jatiranggon 7 Menit ke Puskesmas Pembantu Jati Luhur Bekasi 8 Menit ke UPTD Puskesmas Jatimurni 14 Menit ke Puskesmas Jatisari Kota Bekasi 10 Rumah Premier Komplek Perumahan Siap Huni Bebas Banjir Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Dekat Landmark Rp 1,22 Miliar Rp 6 Jutaan (Tenor 20 Tahun) Rp 7 Jutaan (Tenor 15 Tahun) Rumah Hadap Utara LT 110 Siap KPR Dekat Mall Cibubur Bebas Banjir J-40236 Jatisampurna, Bekasi Perumahan Zamrud Residence Cibubur Jatisampurna - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fas... 3 3 LT: 91 m² LB: 110 m² oleh Alvin - Rumah DP Ringan Dibantu KPR",1,1,1
"Rumah rapih siap huni Sudah renovasi - LT : 300 m2 LB: 250m2 (2 lantai, dapat diperluas bangunan lt.atas, karena sudah di-dak beton di paviliun Lebar Muka : 15 m KT : 5 (sdh trmsk 1 kmrn. paviliun) KM : 4 Listrik : 4,400 W Hadap Barat Daya SHM Semi furnished Harga 3.5M nego sampai deal 14 Rumah Premier Siap Huni Rp 3,5 Miliar Rp 17 Jutaan (Tenor 20 Tahun) Rp 22 Jutaan (Tenor 15 Tahun) Om. Dijual Cepat Raffles Hills Cibubur Cibubur, Bekasi Rumah rapih siap huni Sudah renovasi - LT : 300 m2 LB: 250m2 (2 lantai, dapat diperluas bangunan lt.atas, karena sudah di-dak beton di paviliun L... 5 4 LT: 300 m² LB: 250 m² oleh Audi EraGading",0,1,1
"Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi New condition by Developer PT Metropolitan Land Tbk (Metland) Luas tanah 72 m2 Luas bangunan 30 m2 1 lantai 2 kamar tidur 1 kamar mandi PROMO: - Free Biaya BPHTB - Subsidi Biaya KPR - Free Biaya AJB Balik Nama Kawasan strategis: - 10 menit ke Stasiun KRL Metland Telaga Murni - 10 menit ke Rumah Sakit Hermina Metland Cibitung - 10 menit ke Waterland Cibitung - 10 menit ke Lotte Grosir Cikarang rumah baru di cikarang rumah murah cikarang bekasi rumah 500 jutaan bekasi 5 Rumah Premier Subsidi Dekat Akses Transportasi Dekat Fasilitas Kesehatan Rp 590 Juta Rp 2 Jutaan (Tenor 20 Tahun) Rp 3 Jutaan (Tenor 15 Tahun) Rumah Bagus Cantik 2 Kamar Dijual Cepat Dalam Kondisi Baru Bekasi, Bekasi Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi New condition by Developer PT Metropolitan Land Tbk (Metland) L... 2 1 1 + 1 LT: 72 m² LB: 30 m² oleh Anton",0,1,0
"Rumah hook 2 lantai di Summarecon Bekasi, Bekasi. Dijual rumah hook di wilayah yang nyaman dengan pemandangan Lokasi dipusat kota. Properti 2 lantai bergaya modern ini berada di lingkungan strategis. Rinciannya adalah sebagai berikut: - Kamar Tidur: 4+1 - Kamar Mandi: 3+1 - Sertifikat: PPJB - Daya Listrik: 3500 W - Hadap: Selatan - Kondisi Perabotan: Unfurnished Tidak hanya itu, properti ini layak untuk anda dapatkan karena: - Siap Huni. - Bebas Banjir. - Dekat Akses KRL. - Dekat Akses Bus Kota. - Dekat Pusat Perbelanjaan. - Dekat Universitas. - Dekat Fasilitas Kesehatan. - Dekat Akses Tol. - Lokasi dipusat kota. - City View. - Cocok Untuk Investasi. - One Gate System. - Lokasi Bebas Banjir. Properti berikut sudah lengkap dengan fasilitas: - Wastafel. - Kitchen Set. - Keamanan 24 jam. - Kolam Renang. - Jalur Telepon. Lokasi rumah berikut strategis, hanya selangkah menuju berbagai fasilitas utama dan menarik. 17 Rumah Premier Komplek Perumahan Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Rp 3 Miliar Rp 14 Jutaan (Tenor 20 Tahun) Rp 18 Jutaan (Tenor 15 Tahun) Rumah Huk di Cluster Burgundy Summarecon Bekasi, Bekasi Summarecon Bekasi, Bekasi Rumah hook 2 lantai di Summarecon Bekasi, Bekasi. Dijual rumah hook di wilayah yang nyaman dengan pemandangan Lokasi dipusat kota. Properti 2 lant... 5 + 1 4 + 1 2 LT: 185 m² LB: 118 m² oleh Rudi RWSB",1,1,0
"Jalan Mutaqin 3 Blok U No.85 Bekasi Pondokgede - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 86 LB 30 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Hadap Barat Fasilitas Sekitar Hunian: 3 Menit ke SD Alam Islami Muhammadiyah 3 Menit ke Sd Muhammadiyah 5 Pondok Gede 5 Menit ke SDN Jatiwaringin XII 5 Menit ke SD Islam Baaniatul Kholidiyyah 3 Menit ke SMP Negeri 17 Bekasi 6 Menit ke SMP-SMK MITRA NUSANTARA 8 Menit ke SMP/SMK Islam Al - Ikhlas 8 Menit ke SMP YATAMA 6 Menit ke SMP Islam As-Syafi'iyah 06 5 Menit ke SMA Negeri 5 Bekasi 5 Menit ke SMA Yadika 4 5 Menit ke SMA Islam As-Syafi'iyah 02 14 Menit ke SMA Negeri 81 Jakarta 9 Menit ke Atrium Pondok Gede 10 Menit ke Plaza Pondok Gede 16 Menit ke Mal Pondok Gede 6 Menit ke Pasar Bersih Kemang Cempaka 10 Menit ke PASARKOTA PONDOK GEDE 11 Menit ke Pasar Pondok Gede 7 Menit ke RS Karunia Kasih Rumah Keluarga 9 Menit ke RSUD Pondokgede Kota Bekasi 12 Menit ke RS Masmitra Jati Makmur 14 Menit ke Rumah Sakit Harum Sisma Medika 14 Menit ke RS Helsa Jatirahayu 6 Menit ke Puskesmas Kecamatan Pondok Gede 7 Menit ke Puskesmas Jati Makmur 11 Menit ke Puskesmas Kelurahan Jatimakmur 14 Menit ke Puskesmas Jatibening Baru 18 Menit ke UPTD / Puskesmas Jati Kramat 8 Menit ke Gerbang Tol Pondok Gede Barat 2 20 Menit ke Gerbang Tol Pondok Gede Barat 1 15 Menit ke Gerbang Tol Pondok Kelapa 2 12 Menit ke Gerbang Tol Pondok Gede Timur 1 18 Menit ke Terminal Bayangan Jatibening 16 Menit ke Terminal Sumber Artha 11 Rumah Premier Siap Huni Bebas Banjir Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 1,11 Miliar Rp 5 Jutaan (Tenor 20 Tahun) Rp 6 Jutaan (Tenor 15 Tahun) Rumah SHM 9 Menit ke Atrium Pondok Gede Bebas Banjir J-43342 Pondok Gede, Bekasi Jalan Mutaqin 3 Blok U No.85 Bekasi Pondokgede - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasi... 2 1 LT: 86 m² LB: 30 m² oleh Timo Hartono",1,1,1
"Perumahan Harapan Mulya Cluster Acacia Blok CA 29A No.3 Tarumajaya - Kabupaten Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 74 LB 50 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Hadap Utara Fasilitas Sekitar Hunian: 3 Menit ke SDN Setia Mulya 02 4 Menit ke SMP Negeri 2 Tarumajaya 4 Menit ke SMA Negeri 1 Tarumajaya 5 Menit ke SDIT TSABIT KEIS 6 Menit ke SDN Setia Mulya 01 15 Menit ke SMA Kristen Saint John 6 Menit ke UPTD Puskesmas Setia Mulya 9 Menit ke RS Tarumajaya Hospital 10 Menit ke Altius Hospitals Bekasi 10 Menit ke PRATAMA YAKDI MEDICAL 10 Menit ke Puskesmas Tarumajaya 20 Menit ke Puskesmas Kaliabang Tengah 20 Menit ke Terminal Rorotan 30 Menit ke Stasiun Kranji 30 Menit ke Stasiun Cakung 35 Menit ke Stasiun Klender Baru 45 Menit ke Gerbang Tol Tambun 16 Rumah Premier Siap Huni Dekat Akses Transportasi Dekat Sekolah Dekat Fasilitas Kesehatan Rp 670 Juta Rp 3 Jutaan (Tenor 20 Tahun) Rp 4 Jutaan (Tenor 15 Tahun) Rumah SHM Hadap Utara 9 Mnt ke Rs Tarumajaya Hospital Siap KPR J-39479 Tarumajaya, Bekasi Perumahan Harapan Mulya Cluster Acacia Blok CA 29A No.3 Tarumajaya - Kabupaten Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni loka... 2 1 LT: 74 m² LB: 50 m² oleh PASHOUSES ID",0,1,1
"Jalan Melati VII Blok B2 No.10 Pondokgede - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 117 LB 200 2 Lantai 6 Kamar Tidur 3 Kamar Mandi Listrik 3500 VA Sumber Air PDAM Hadap Timur Fasilitas Sekitar Hunian: 7 Menit ke SD Al-Hassan Islamic School, Bekasi 9 Menit ke SDN Jatikramat VII & VIII 9 Menit ke SDN Jatimekar I 7 Menit ke Sekolah Menengah Pertama Tunas Harapan Jaya 8 Menit ke SMP IT Raudhatul Muttaqin 9 Menit ke SMP TERBUKA 17 Bekasi 7 Menit ke SMPN 23 Kota Bekasi 9 Menit ke SMP Negeri 34 Kota Bekasi 8 Menit ke SMA GEMA ISLAMI (ASLI) 7 Menit ke SMA Islam Al Azhar 33 Jatimakmur 15 Menit ke SMA Negeri 5 Bekasi 14 Menit ke SMA HUTAMA 16 Menit ke Mal Pondok Gede 15 Menit ke Atrium Pondok Gede 25 Menit ke Grand Galaxy Park 9 Menit ke Pasar Regional Jatikramat 14 Menit ke Pasar Cikunir 15 Menit ke Pasar Kecapi 18 Menit ke Pasar Bersih Kemang Cempaka 8 Menit ke RS Masmitra Jati Makmur 10 Menit ke Mitra Keluarga Jatiasih 15 Menit ke RS Helsa Jatirahayu 15 Menit ke Rumah Sakit Jati Rahayu 9 Menit ke UPTD / Puskesmas Jati Kramat 7 Menit ke Puskesmas Kelurahan Jatimakmur 9 Menit ke UPTD PUSKESMAS JATIMEKAR 14 Menit ke Puskesmas Jati Makmur 15 Menit ke Puskesmas Jatirahayu 16 Menit ke Gerbang Tol Pondok Gede Timur 2 25 Menit ke Gerbang Tol Pondok Gede Timur 1 15 Menit ke Gerbang Tol Pondok Gede 2 Masuk 19 Menit ke Terminal Sumber Artha 10 Rumah Premier Siap Huni Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,21 Miliar Rp 10 Jutaan (Tenor 20 Tahun) Rp 13 Jutaan (Tenor 15 Tahun) Rumah 6 Kamar Tidur Hadap Timur 15 Mnt ke Mal Pondok Gede Siap KPR J-40994 Jatibening, Bekasi Jalan Melati VII Blok B2 No.10 Pondokgede - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas... 6 3 LT: 117 m² LB: 200 m² oleh Debby Alvionita Hutagaol",0,1,1
"Perumahan Grand Cipendawa Residence Rawalumbu - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 72 LB 60 1 Lantai 2 Kamar Tidur 1 Kamar Mandi Listrik 1300 VA Sumber Air Tanah Hadap Utara Fasilitas Sekitar Hunian: 4 Menit ke SDN Bojong Menteng 1& V 4 Menit ke SDN BOJONG MENTENG 5 5 Menit ke SDN Bojong Menteng III 8 Menit ke SDN Bojong Menteng II 9 Menit ke SDN Bojong Menteng IV 13 Menit ke SMP Yaperti 8 Menit ke SMP NEGERI 8 BEKASI 11 Menit ke SMP Permata Sakti 11 Menit ke Sekolah Menengah Pertama Santa Lusia 17 Menit ke SMP INTELEKTIKA 12 Menit ke SMA NEGERI 21 KOTA BEKASI 12 Menit ke Sekolah Menengah Atas Al - Fajar 13 Menit ke SMP - SMA Tulus Bhakti 18 Menit ke SMA Negeri 6 Bekasi 20 Menit ke Grand Galaxy Park 16 Menit ke Mal Pekayon 18 Menit ke Pakuwon Mall Bekasi 18 Menit ke Revo Mall 23 Menit ke Lagoon Avenue Mall Bekasi 17 Menit ke Pasar Tanah Merah Narogong 17 Menit ke Pasar Rawalumbu 11 Menit ke Klinik Utama Fakhira Jatiasih 11 Menit ke RS Kartika Husada Jatiasih 11 Menit ke RSUD BANTARGEBANG KOTA BEKASI 13 Menit ke UPTD Puskesmas Bojong Menteng 15 Menit ke Puskesmas Bojong Rawalumbu 19 Menit ke UPTD Puskesmas Pengasinan 31 Menit ke Puskesmas Kelurahan Pinang Ranti 33 Menit ke Puskesmas Kecamatan Makasar 14 Menit ke Gerbang Tol Jati Asih 2 95 Menit ke Gerbang Tol Cikunir 6 19 Menit ke Gerbang Tol Bekasi Barat 1 19 Menit ke Gerbang Tol Bekasi Barat 2 21 Menit ke Terminal Kayuringin 21 Rumah Premier Komplek Perumahan Siap Huni Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 720 Juta Rp 3 Jutaan (Tenor 20 Tahun) Rp 4 Jutaan (Tenor 15 Tahun) Rumah Hadap Utara 16 Menit ke Mal Pekayon Siap Huni J-40128 Galaxy, Bekasi Perumahan Grand Cipendawa Residence Rawalumbu - Kota Bekasi Menerima Cash Bisa Dibantu KPR Rumah siap huni lokasi strategis, dekat dengan fasil... 2 1 LT: 72 m² LB: 60 m² oleh Alvin - Rumah DP Ringan Dibantu KPR",0,1,1
"Jalan Nusantara Selatan 2 Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi. SHM LT 96 LB 170 3 Lantai 4 Kamar Tidur 2 Kamar Mandi Listrik 1300 VA Sumber Air PDAM Hadap Timur Laut Fasilitas Sekitar Hunian: 4 Menit ke SDN Harapan Jaya IX 7 Menit ke SDN Harapan Jaya II 9 Menit ke SDN Harapan Jaya IV 6 Menit ke SD Harapan Indonesia 6 Menit ke SD Islam Terpadu Al-Hidayah 3 Menit ke SMP-SMA Taman Harapan 2 Bekasi 3 Menit ke SMP Islam Bidayatul Hidayah Bekasi 4 Menit ke SMPN 25 Bekasi 8 Menit ke SMP Negeri 5 Kota Bekasi 11 Menit ke SMAN 20 KOTA BEKASI 8 Menit ke SMAN 4 Bekasi 12 Menit ke SMA Islam Al-Azhar 8 Summarecon Bekasi 11 Menit ke SMA PGRI 2 Bekasi 10 Menit ke TK-SD-SMP-SMA-SMK Travina Prima 13 Menit ke Summarecon Mall Bekasi 20 Menit ke Mall Bekasi Junction 17 Menit ke Living Plaza - Kota Harapan Indah 22 Menit ke BEKASI CYBER PARK MALL 8 Menit ke Pasar Seroja 13 Menit ke Pasar Tytyan Indah 9 Menit ke RSU Seto Hasbadi Kota Bekasi 15 Menit ke RS Permata Keluarga Summarecon 12 Menit ke RS Ananda Bekasi 14 Menit ke Primaya Hospital Bekasi Utara 7 Menit ke Uptd Puskesmas Seroja 9 Menit ke Puskesmas Perwira 8 Menit ke Puskesmas Pejuang 18 Menit ke Gerbang Tol Marga Jaya 2 20 Menit ke Gerbang Tol Bekasi Barat 1 35 Menit ke Gerbang Tol Bekasi Barat 1 25 Menit ke Gerbang Tol Pulo Gebang 7 Menit ke Terminal Seroja 21 Menit ke Terminal Bekasi Kayuringin 41 Rumah Premier Siap Huni Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Dekat Landmark Rp 1,05 Miliar Rp 5 Jutaan (Tenor 20 Tahun) Rp 6 Jutaan (Tenor 15 Tahun) Rumah Siap Huni 13 Menit ke Summarecon Mall Bekasi Dibantu KPR J39267 Summarecon Bekasi, Bekasi Jalan Nusantara Selatan 2 Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transporta... 4 2 LT: 96 m² LB: 170 m² oleh Debby Alvionita Hutagaol",0,1,1
"Project: Parkland Podomoro Rumah baru 1 lantai 2 kamar tidur, 1 kamar mandi Fasilitas clubhouse super lengkap Keunggulan Parkland Podomoro - ukuran unitnya luas - dekat Stasiun Kereta Cepat (KCIC) - dekat Stasiun Karawang - lokasi strategis di pusat Kota Karawang Lokasi strategis di Karawang - 2 menit ke Stasiun Karawang - 5 menit ke Tol Karawang Barat - 5 menit ke Ciplaz Karawang - 10 menit ke RSUD Karawang 16 Rumah Premier Siap Huni Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Fasilitas Kesehatan Rp 990 Juta Rp 4 Jutaan (Tenor 20 Tahun) Rp 6 Jutaan (Tenor 15 Tahun) Siap Huni Rumah Baru Minimalis 2Kt, Lokasi Strategis dan Nyaman Bekasi, Bekasi Project: Parkland Podomoro Rumah baru 1 lantai 2 kamar tidur, 1 kamar mandi Fasilitas clubhouse super lengkap Keunggulan Parkland Podomoro - ukur... 2 1 1 + 1 LT: 60 m² LB: 31 m² oleh Wenny",0,1,0
"Project: Metland Mneteng Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 108 m2 3 kamar tidur, 2 kamar mandi Rumah mewah ini berada di area Cakung, Jakarta Timur Rumah elit di Jakarta ini juga memiliki fasilitas lengkap dan lokasi yang strategis Rasakan kesejukan dari hutan kota seluas 10.000 m² Lokasi sangat strategis: - 7 menit ke AEON Mall Jakarta Garden City JGC - 7 menit ke IKEA Jakarta Garden City - 10 menit ke LULU Hypermarket - 15 menit ke Pasar Modern Harapan Indah Selangkah ke TOL JORR via Cakung Barat dan Timur, TOL layang dalam kota ruas Kelapa Gading - Pulo Gebang Coming Soon MRT Fase 3 Stasiun Ujung Menteng tepat di depan Gerbang 1 Metland Menteng! rumah mewah jakarta rumah mewah jakarta 2 lantai rumah premium jakarta cluster jakarta 12 Rumah Premier Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Landmark Rp 3,4 Miliar Rp 16 Jutaan (Tenor 20 Tahun) Rp 21 Jutaan (Tenor 15 Tahun) Rumah Cluster 2 Lantai Kondisi Baru Strategis Dekat Mall dan Banyak Ruang Hijau Summarecon Bekasi, Bekasi Project: Metland Mneteng Kondisi rumah baru Luas tanah 105 m2 Luas bangunan 108 m2 3 kamar tidur, 2 kamar mandi Rumah mewah ini berada di area Ca... 3 2 2 + 2 LT: 105 m² LB: 108 m² oleh Anton",0,1,0
"Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi Cluster Brassia Garden Kondisi baru! by Developer PT Metropolitan Land Tbk (Metland) Luas tanah 72 m2 Luas bangunan 33 m2 1 lantai 2 kamar tidur 1 kamar mandi PROMO: - Free Biaya BPHTB - Subsidi Biaya KPR - Free Biaya AJB Balik Nama Kawasan strategis: - 10 menit ke Stasiun KRL Metland Telaga Murni - 10 menit ke Rumah Sakit Hermina Metland Cibitung - 10 menit ke Waterland Cibitung - 10 menit ke Lotte Grosir Cikarang rumah baru di cikarang rumah murah cikarang bekasi rumah 600 jutaan bekasi 7 Rumah Premier Subsidi Dekat Akses Transportasi Dekat Fasilitas Kesehatan Rp 635 Juta Rp 3 Jutaan (Tenor 20 Tahun) Rp 4 Jutaan (Tenor 15 Tahun) Jual Rumah Bagus 1 Lantai Minimalis Modern Cocok untuk Huni atau Invest Bekasi Timur, Bekasi Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi Cluster Brassia Garden Kondisi baru! by Developer PT Metropolita... 2 1 1 + 1 LT: 72 m² LB: 33 m² oleh Anton",0,1,0
"Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi Cluster Brassia Garden Kondisi baru! by Developer PT Metropolitan Land Tbk (Metland) Luas tanah 72 m2 Luas bangunan 33 m2 1 lantai 2 kamar tidur 1 kamar mandi PROMO: - Free Biaya BPHTB - Subsidi Biaya KPR - Free Biaya AJB Balik Nama Kawasan strategis: - 10 menit ke Stasiun KRL Metland Telaga Murni - 10 menit ke Rumah Sakit Hermina Metland Cibitung - 10 menit ke Waterland Cibitung - 10 menit ke Lotte Grosir Cikarang rumah baru di cikarang rumah murah cikarang bekasi rumah 600 jutaan bekasi 7 Rumah Premier Subsidi Dekat Akses Transportasi Dekat Fasilitas Kesehatan Rp 635 Juta Rp 3 Jutaan (Tenor 20 Tahun) Rp 4 Jutaan (Tenor 15 Tahun) Rumah Bagus Dijual di Metland Cikarang Kondisi Baru dengan 1 Lantai & 2 Kamar Bekasi, Bekasi Project: Metland Cikarang Rumah baru dijual di Metland Cikarang, Cibitung, Bekasi Cluster Brassia Garden Kondisi baru! by Developer PT Metropolita... 2 1 1 + 1 LT: 72 m² LB: 33 m² oleh Anton",0,1,0
"Summarecon merupakan pengembang dengan komitmen tinggi dan reputasi terpercaya dalam menghadirkan mutu produk yang berkualitas secara berkesinambungan, mulai dari perencanaan yang detil, persiapan lahan & lingkungan yang matang, sistem kerja yang tepat, pemakaian material yang bermutu, inovasi alat project, hingga kerapihan pekerjaan, dan pengawasan yang konsisten. Summarecon Bekasi berlokasi di gerbang timur Jakarta, kota Bekasi merupakan kota penyangga Ibukota terdekat. Selain dekat kawasan industri Cikarang & Karawang, kehadiran infrastruktur baru menjadikan Summarecon Bekasi sebagai kota bisnis yang modern dengan perekonomian yg berkembang pesat. Tersedia transportasi mandiri dengan Shuttle Bus, terkoneksi dengan TransJakarta & TransPatriot, dekat dengan Gate Bekasi Barat (Tol Jakarta - Cikampek atau JORR) dan Tol Becak Kayu, stasiun LRT (Light Rapid Transit) & stasiun KRL Commuter Bekasi. Dan tentunya Summarecon Bekasi didukung dengan berbagai fasilitas dan sarana umum untuk mendukung kehidupan sehari-hari semua anggota keluarga yaitu : - 5 menit ke Summarecon Mal Bekasi - 7 menit ke Binus University - 3 menit ke Universitas Bhayangkara - 5 menit ke Sekolah BPK Penabur - 6 menit ke Sekolah Al Azhar - 6 menit ke Dechatlon International Sport Center - 10 menit ke RS Anna Medika - 5 menit ke RS Mitra Keluarga - 5 menit ke Bekasi Food Village - 5 menit ke Pasar Sinpasa - 5 menit ke BCBD (Bekasi Central Business Distrik) Summarecon Bekasi dikembangkan seluas 270 ha sebagai ikon kawasan hunian prestis yang nyaman dengan lingkungan yang asri, pusat komersial terkemuka, dan berbagai fasilitas modern berkelas dunia. Dengan masterplan yang terintegrasi, kota Summarecon Bekasi dirancang sebagai township yang berwawasan lingkungan dengan menyeimbangkan healthy living lifestyle yang harmonis 13 -3% Rumah Premier Komplek Perumahan Bisa Nego Siap Huni Dekat Akses Transportasi Dekat Pusat Perbelanjaan Dekat Sekolah Dekat Fasilitas Kesehatan Rp 2,8 Miliar Rp 2.9 M Turun Rp 100 Jutaan Rp 13 Jutaan (Tenor 20 Tahun) Rp 17 Jutaan (Tenor 15 Tahun) Jual Murah Harga Nego Rumah 2 Lantai Siap Huni Dekat Clubhouse di Mulberry Residence Kawasan The Orchard Summarecon Bekasi Dekat Summarecon Mal Bekasi Summarecon Bekasi, Bekasi Summarecon merupakan pengembang dengan komitmen tinggi dan reputasi terpercaya dalam menghadirkan mutu produk yang berkualitas secara berkesinamb... 4 + 1 3 + 1 2 LT: 117 m² LB: 133 m² V oleh VERAWATY",0,1,0
